key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,370,A80,Dutch Defense,book,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq f6 0 2,1.d4 f5,Dutch-Defense,0.56,0,370,41.98,27.9,30.11,Dutch Defense
rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq,13537,A84,Dutch Defense,book,rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq d3 0 2,1.c4 f5 2.d4,Dutch-Defense-2.c4,0.5,0,370,39.88,26.96,33.14,Dutch Defense
rnbqkbnr/ppppp1pp/8/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq,13873,A80,Dutch Defense,book,rnbqkbnr/ppppp1pp/8/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,1.d4 f5 2.Bf4,Dutch-Defense-2.Bf4,0.5,0,370,44,18.52,37.48,Dutch Defense
rnbqkbnr/pppp2pp/4p3/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq,13874,A80,Dutch Defense,notable,rnbqkbnr/pppp2pp/4p3/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,1.d4 f5 2.Bf4 e6,Dutch-Defense-2.Bf4-e6,0.54,0,370,53.33,11.25,35.42,Dutch Defense
rnbqkbnr/ppppp2p/6p1/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,13882,A84,Dutch Defense,book,rnbqkbnr/ppppp2p/6p1/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,1.d4 f5 2.c4 g6,Dutch-Defense-2.c4-g6,0.87,0,370,43.65,24.92,31.44,Dutch Defense
rnbqkbnr/ppppp2p/6p1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,13883,A84,Dutch Defense,book,rnbqkbnr/ppppp2p/6p1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,1.d4 f5 2.c4 g6 3.Nc3,Dutch-Defense-2.c4-g6-3.Nc3,0.47,0,370,43.46,25.38,31.15,Dutch Defense
rnbqkbnr/ppppp1pp/8/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq,14009,A80,Dutch Defense,book,rnbqkbnr/ppppp1pp/8/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,1.d4 f5 2.Nf3,Dutch-Defense-2.Nf3,0.57,0,370,39.84,30.04,30.11,Dutch Defense
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,14011,A80,Dutch Defense,book,rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,1.d4 f5 2.Nf3 Nf6,Dutch-Defense-2.Nf3-Nf6,0.57,0,370,39.74,29.96,30.29,Dutch Defense
rnbqkb1r/ppppp1pp/5n2/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq,25706,A80,Dutch Defense,book,rnbqkb1r/ppppp1pp/5n2/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,1.d4 f5 2.Bf4 Nf6,Dutch-Defense-2.Bf4-Nf6,0.62,0,370,43.48,18.52,38,Dutch Defense
rnbqkb1r/ppppp1pp/5n2/5p2/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq,25707,A80,Dutch Defense,book,rnbqkb1r/ppppp1pp/5n2/5p2/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,1.d4 f5 2.Bf4 Nf6 3.e3,Dutch-Defense-2.Bf4-Nf6-3.e3,0.61,0,370,45.42,18.49,36.09,Dutch Defense
