key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,2099,B20,Sicilian Defense,book,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2,1.e4 c5,Sicilian-Defense,0.39,0,2099,37.6,28.07,34.32,Sicilian Defense
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq,3458,B50,Sicilian Defense,book,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 3,1.e4 c5 2.Nf3 d6 3.d4,Sicilian-Defense-2.Nf3-d6-3.d4,0.38,0,2099,39.01,27.12,33.86,Sicilian Defense
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq,3749,B27,Sicilian Defense,book,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq e3 0 2,1.Nf3 c5 2.e4,Sicilian-Defense-2.Nf3,0.5,0,2099,38.13,28.5,33.36,Sicilian Defense
rnbqkbnr/pp1ppppp/8/2p5/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,11813,B20,Sicilian Defense,book,rnbqkbnr/pp1ppppp/8/2p5/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,1.e4 c5 2.d3,Sicilian-Defense-2.d3,-0.16,0,2099,35.99,26.13,37.84,Sicilian Defense
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq,11814,B20,Sicilian Defense,book,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,1.e4 c5 2.d3 Nc6,Sicilian-Defense-2.d3-Nc6,0,0,2099,34.03,26.82,39.1,Sicilian Defense
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2PP4/PP3PPP/RNBQKBNR b KQkq,11816,B20,Sicilian Defense,notable,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2PP4/PP3PPP/RNBQKBNR b KQkq - 0 3,1.e4 c5 2.d3 Nc6 3.c3,Sicilian-Defense-2.d3-Nc6-3.c3,-0.29,0,2099,19.15,17.02,63.83,Sicilian Defense
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2PP4/PP3PPP/RNBQKBNR w KQkq,11817,B20,Sicilian Defense,notable,r1bqkbnr/pp2pppp/2np4/2p5/4P3/2PP4/PP3PPP/RNBQKBNR w KQkq - 0 4,1.e4 c5 2.d3 Nc6 3.c3 d6,Sicilian-Defense-2.d3-Nc6-3.c3-d6,0.25,0,2099,14.29,28.57,57.14,Sicilian Defense
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq,11875,B50,Sicilian Defense,book,rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,1.e4 c5 2.d4 cxd4 3.Nf3 d6,Sicilian-Defense-2.Nf3-d6-3.d4-cxd4,0.35,0,2099,39.24,26.99,33.76,Sicilian Defense
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5NP1/PPPP1P1P/RNBQKB1R b KQkq,12978,B50,Sicilian Defense,book,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5NP1/PPPP1P1P/RNBQKB1R b KQkq - 0 3,1.e4 c5 2.Nf3 d6 3.g3,Sicilian-Defense-2.Nf3-d6-3.g3,0,0,2099,38.2,24.86,36.94,Sicilian Defense
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,13867,B50,Sicilian Defense,book,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq c6 0 3,1.e4 d6 2.Nf3 c5,Sicilian-Defense-2.Nf3-d6,0.43,0,2099,38.55,27.82,33.62,Sicilian Defense
r2q1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1bPP/PP3PB1/RNBQR1K1 w -,17098,B50,Sicilian Defense,book,r2q1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1bPP/PP3PB1/RNBQR1K1 w - - 0 10,1.e4 c5 2.Nf3 d6 3.g3 Nc6 4.Bg2 Nf6 5.d3 g6 6.O-O Bg7 7.c3 O-O 8.Re1 Bg4 9.h3 Bxf3,Sicilian-Defense...8.Re1-Bg4-9.h3-Bxf3,0.29,0,2099,32.61,29.71,37.68,Sicilian Defense
r2q1rk1/pp2ppbp/2np1np1/2p5/4P1b1/2PP1NPP/PP3PB1/RNBQR1K1 b -,17099,B50,Sicilian Defense,book,r2q1rk1/pp2ppbp/2np1np1/2p5/4P1b1/2PP1NPP/PP3PB1/RNBQR1K1 b - - 0 9,1.e4 c5 2.Nf3 d6 3.g3 Nc6 4.Bg2 Nf6 5.d3 g6 6.O-O Bg7 7.c3 O-O 8.Re1 Bg4 9.h3,Sicilian-Defense...7.c3-O-O-8.Re1-Bg4-9.h3,0.34,0,2099,33.56,30.87,35.57,Sicilian Defense
r2q1rk1/pp2ppbp/2np1np1/2p5/4P1b1/2PP1NP1/PP3PBP/RNBQR1K1 w -,17100,B50,Sicilian Defense,book,r2q1rk1/pp2ppbp/2np1np1/2p5/4P1b1/2PP1NP1/PP3PBP/RNBQR1K1 w - - 3 9,1.e4 c5 2.Nf3 d6 3.g3 Nc6 4.Bg2 Nf6 5.d3 g6 6.O-O Bg7 7.c3 O-O 8.Re1 Bg4,Sicilian-Defense...7.c3-O-O-8.Re1-Bg4,0.26,0,2099,35.47,27.91,36.63,Sicilian Defense
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b -,17104,B50,Sicilian Defense,book,r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b - - 7 8,1.e4 c5 2.Nf3 d6 3.d3 Nc6 4.g3 g6 5.Bg2 Bg7 6.O-O Nf6 7.Nbd2 O-O 8.Re1,Sicilian-Defense...6.O-O-Nf6-7.Nbd2-O-O-8.Re1,-0.29,0,2099,29.7,23.94,46.36,Sicilian Defense
1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w -,17105,B50,Sicilian Defense,book,1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - - 3 9,1.e4 c5 2.Nf3 d6 3.g3 Nc6 4.Bg2 Nf6 5.d3 g6 6.O-O Bg7 7.c3 O-O 8.Nbd2 Rb8,Sicilian-Defense...7.c3-O-O-8.Nbd2-Rb8,-0.18,0,2099,30.2,31.68,38.12,Sicilian Defense
1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w -,17105,B50,Sicilian Defense,book,1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - - 3 9,1.e4 c5 2.Nf3 d6 3.g3 Nc6 4.Bg2 Nf6 5.d3 g6 6.O-O Bg7 7.c3 O-O 8.Nbd2 Rb8,Sicilian-Defense...7.c3-O-O-8.Nbd2-Rb8,-0.18,0,2099,30.2,31.68,38.12,Sicilian Defense
1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 w -,17107,B50,Sicilian Defense,book,1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 w - - 1 9,1.e4 c5 2.Nf3 d6 3.d3 Nc6 4.g3 g6 5.Bg2 Bg7 6.O-O Nf6 7.Nbd2 O-O 8.a4 Rb8,Sicilian-Defense...7.Nbd2-O-O-8.a4-Rb8,-0.07,0,2099,25.23,29.73,45.05,Sicilian Defense
1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 w -,17107,B50,Sicilian Defense,book,1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 w - - 1 9,1.e4 c5 2.Nf3 d6 3.d3 Nc6 4.g3 g6 5.Bg2 Bg7 6.O-O Nf6 7.Nbd2 O-O 8.a4 Rb8,Sicilian-Defense...7.Nbd2-O-O-8.a4-Rb8,-0.07,0,2099,25.23,29.73,45.05,Sicilian Defense
r1bq1rk1/pp2ppbp/2np1np1/2p5/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 b -,17108,B50,Sicilian Defense,book,r1bq1rk1/pp2ppbp/2np1np1/2p5/P3P3/3P1NP1/1PPN1PBP/R1BQ1RK1 b - a3 0 8,1.e4 c5 2.Nf3 d6 3.d3 Nc6 4.g3 g6 5.Bg2 Bg7 6.O-O Nf6 7.Nbd2 O-O 8.a4,Sicilian-Defense...6.O-O-Nf6-7.Nbd2-O-O-8.a4,-0.14,0,2099,26.49,32.84,40.67,Sicilian Defense
rnbq1rk1/pp2ppbp/3p1np1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b -,17399,B50,Sicilian Defense,book,rnbq1rk1/pp2ppbp/3p1np1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b - - 5 7,1.e4 c5 2.Nf3 d6 3.g3 Nf6 4.d3 g6 5.Bg2 Bg7 6.O-O O-O 7.Nbd2,Sicilian-Defense...5.Bg2-Bg7-6.O-O-O-O-7.Nbd2,-0.22,0,2099,32.08,28.57,39.35,Sicilian Defense
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NPBNPP/1PP2PB1/R2Q1RK1 b -,17400,B50,Sicilian Defense,book,1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NPBNPP/1PP2PB1/R2Q1RK1 b - - 1 10,1.e4 c5 2.Nf3 d6 3.g3 Nf6 4.d3 g6 5.Bg2 Bg7 6.O-O O-O 7.Nc3 Nc6 8.h3 Rb8 9.a4 a6 10.Be3,Sicilian-Defense...8.h3-Rb8-9.a4-a6-10.Be3,-0.29,0,2099,33.15,32.04,34.81,Sicilian Defense
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NPBNPP/1PP2PB1/R2Q1RK1 b -,17400,B50,Sicilian Defense,book,1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NPBNPP/1PP2PB1/R2Q1RK1 b - - 1 10,1.e4 c5 2.Nf3 d6 3.g3 Nf6 4.d3 g6 5.Bg2 Bg7 6.O-O O-O 7.Nc3 Nc6 8.h3 Rb8 9.a4 a6 10.Be3,Sicilian-Defense...8.h3-Rb8-9.a4-a6-10.Be3,-0.29,0,2099,33.15,32.04,34.81,Sicilian Defense
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQ1RK1 w -,17401,B50,Sicilian Defense,book,1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQ1RK1 w - - 0 10,1.e4 c5 2.Nf3 d6 3.g3 Nf6 4.d3 g6 5.Bg2 Bg7 6.O-O O-O 7.Nc3 Nc6 8.h3 Rb8 9.a4 a6,Sicilian-Defense...8.h3-Rb8-9.a4-a6,-0.17,0,2099,32.54,33.49,33.97,Sicilian Defense
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQ1RK1 w -,17401,B50,Sicilian Defense,book,1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NP1NPP/1PP2PB1/R1BQ1RK1 w - - 0 10,1.e4 c5 2.Nf3 d6 3.g3 Nf6 4.d3 g6 5.Bg2 Bg7 6.O-O O-O 7.Nc3 Nc6 8.h3 Rb8 9.a4 a6,Sicilian-Defense...8.h3-Rb8-9.a4-a6,-0.17,0,2099,32.54,33.49,33.97,Sicilian Defense
