key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,3506,D10,Slav Defense,book,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq d6 0 3,1.d4 c6 2.c4 d5,Slav-Defense,0.31,0,2330,39.58,38.01,22.4,#N/A
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,7171,D10,Slav Defense,book,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq d3 0 3,1.c4 c6 2.Nc3 d5 3.d4,Slav-Defense-3.Nc3,0.31,0,2330,41.22,35.17,23.61,#N/A
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq,7609,D10,Slav Defense,book,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,1.d4 d5 2.c4 c6 3.e3,Slav-Defense-3.e3,0.18,0,2330,38.43,38.97,22.58,#N/A
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq,7863,D10,Slav Defense,book,rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,1.d4 d5 2.c4 dxc4 3.Nc3 c6,Slav-Defense-3.Nc3-dxc4,0.43,0,2330,39.07,30.5,30.44,#N/A
rnbqkbnr/pp2pppp/2p5/8/P1pP4/2N5/1P2PPPP/R1BQKBNR b KQkq,18112,D10,Slav Defense,book,rnbqkbnr/pp2pppp/2p5/8/P1pP4/2N5/1P2PPPP/R1BQKBNR b KQkq a3 0 4,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.a4,Slav-Defense-3.Nc3-dxc4-4.a4,-0.14,0,2330,24.46,27.52,48.01,#N/A
rnbqkbnr/pp3ppp/2p5/4p3/P1pP4/2N5/1P2PPPP/R1BQKBNR w KQkq,18113,D10,Slav Defense,book,rnbqkbnr/pp3ppp/2p5/4p3/P1pP4/2N5/1P2PPPP/R1BQKBNR w KQkq e6 0 5,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.a4 e5,Slav-Defense-3.Nc3-dxc4-4.a4-e5,-0.08,0,2330,22.91,27.31,49.78,#N/A
rnbqkbnr/pp3ppp/2p5/4P3/P1p5/2N5/1P2PPPP/R1BQKBNR b KQkq,18114,D10,Slav Defense,book,rnbqkbnr/pp3ppp/2p5/4P3/P1p5/2N5/1P2PPPP/R1BQKBNR b KQkq - 0 5,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.a4 e5 5.dxe5,Slav-Defense-3.Nc3-dxc4-4.a4-e5-5.dxe5,-0.09,0,2330,28.45,32.76,38.79,#N/A
rnb1kbnr/pp3ppp/2p5/4P3/P1p5/2N5/1P2PPPP/R1BqKBNR w KQkq,18115,D10,Slav Defense,book,rnb1kbnr/pp3ppp/2p5/4P3/P1p5/2N5/1P2PPPP/R1BqKBNR w KQkq - 0 6,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.a4 e5 5.dxe5 Qxd1+,Slav-Defense...4.a4-e5-5.dxe5-Qxd1,0.2,0,2330,28.7,32.17,39.13,#N/A
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N1P3/PP3PPP/R1BQKBNR b KQkq,18116,D10,Slav Defense,book,rnbqkbnr/pp2pppp/2p5/8/2pP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.e3,Slav-Defense-3.Nc3-dxc4-4.e3,0.4,0,2330,42.78,28.7,28.52,#N/A
rnbqkbnr/p3pppp/2p5/1p6/2pP4/2N1P3/PP3PPP/R1BQKBNR w KQkq,18117,D10,Slav Defense,book,rnbqkbnr/p3pppp/2p5/1p6/2pP4/2N1P3/PP3PPP/R1BQKBNR w KQkq b6 0 5,1.d4 d5 2.c4 c6 3.Nc3 dxc4 4.e3 b5,Slav-Defense-3.Nc3-dxc4-4.e3-b5,0.44,0,2330,41.39,28.99,29.62,#N/A
