key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq,2025,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,1.e4 c5 2.c3,Alapin-Sicilian-Defense,0.17,0,2025,33.75,31.77,34.48,Alapin Sicilian Defense
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11711,B22,Alapin Sicilian Defense,book,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3,1.e4 c5 2.c3 Nc6,Alapin-Sicilian-Defense-2...Nc6,0.25,0,2025,58.69,16.88,24.43,Alapin Sicilian Defense
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq,11713,B22,Alapin Sicilian Defense,book,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq d3 0 3,1.e4 c5 2.c3 Nc6 3.d4,Alapin-Sicilian-Defense-2...Nc6-3.d4,0.29,0,2025,64.05,12.69,23.26,Alapin Sicilian Defense
rnbqkbnr/pp2pppp/8/2pp4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11715,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp2pppp/8/2pp4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq d6 0 3,1.e4 c5 2.c3 d5,Alapin-Sicilian-Defense-2...d5,0.25,0,2025,33.28,34.18,32.54,Alapin Sicilian Defense
rnbqkbnr/pp2pppp/8/2pP4/8/2P5/PP1P1PPP/RNBQKBNR b KQkq,11716,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp2pppp/8/2pP4/8/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 3,1.e4 c5 2.c3 d5 3.exd5,Alapin-Sicilian-Defense-2...d5-3.exd5,0.16,0,2025,33.4,34.37,32.23,Alapin Sicilian Defense
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11747,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp2pppp/3p4/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,1.e4 c5 2.c3 d6,Alapin-Sicilian-Defense-2...d6,0.64,0,2025,35.07,29.45,35.49,Alapin Sicilian Defense
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11749,B22,Alapin Sicilian Defense,notable,rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq e6 0 3,1.e4 c5 2.c3 e5,Alapin-Sicilian-Defense-2...e5,0.37,0,2025,39.45,26.15,34.4,Alapin Sicilian Defense
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11750,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,1.e4 c5 2.c3 e6,Alapin-Sicilian-Defense-2...e6,0.33,0,2025,33.52,32.63,33.85,Alapin Sicilian Defense
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq,11751,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq d3 0 3,1.e4 c5 2.c3 e6 3.d4,Alapin-Sicilian-Defense-2...e6-3.d4,0.31,0,2025,33.22,32.22,34.56,Alapin Sicilian Defense
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq,11752,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq d6 0 4,1.e4 c5 2.c3 e6 3.d4 d5,Alapin-Sicilian-Defense-2...e6-3.d4-d5,0.31,0,2025,30.91,34.31,34.79,Alapin Sicilian Defense
rnbqkbnr/pp3ppp/4p3/2pP4/3P4/2P5/PP3PPP/RNBQKBNR b KQkq,11754,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp3ppp/4p3/2pP4/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,1.e4 c5 2.c3 e6 3.d4 d5 4.exd5,Alapin-Sicilian-Defense-2...e6-3.d4-d5-4.exd5,0.24,0,2025,29.25,38.04,32.71,Alapin Sicilian Defense
rnbqkbnr/pp3ppp/8/2pp4/3P4/2P5/PP3PPP/RNBQKBNR w KQkq,11756,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp3ppp/8/2pp4/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 0 5,1.e4 c5 2.c3 e6 3.d4 d5 4.exd5 exd5,Alapin-Sicilian-Defense...3.d4-d5-4.exd5-exd5,0.27,0,2025,28.46,38.99,32.55,Alapin Sicilian Defense
r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq,11758,B22,Alapin Sicilian Defense,book,r1bqkbnr/pp3ppp/2n5/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 2 6,1.e4 c5 2.c3 e6 3.d4 d5 4.exd5 exd5 5.Nf3 Nc6,Alapin-Sicilian-Defense...4.exd5-exd5-5.Nf3-Nc6,0.42,0,2025,28.48,42.12,29.4,Alapin Sicilian Defense
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq,11761,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 1 3,1.e4 c5 2.c3 e6 3.Nf3,Alapin-Sicilian-Defense-2...e6-3.Nf3,0.25,0,2025,36.63,29.95,33.41,Alapin Sicilian Defense
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq,11763,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp3ppp/4p3/2pp4/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq d6 0 4,1.e4 c5 2.c3 e6 3.Nf3 d5,Alapin-Sicilian-Defense-2...e6-3.Nf3-d5,0.35,0,2025,35.21,32.62,32.16,Alapin Sicilian Defense
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11764,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,1.e4 c5 2.c3 g6,Alapin-Sicilian-Defense-2...g6,0.43,0,2025,37.89,25.49,36.61,Alapin Sicilian Defense
rnbqkbnr/pp1ppp1p/6p1/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq,11765,B22,Alapin Sicilian Defense,book,rnbqkbnr/pp1ppp1p/6p1/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq d3 0 3,1.e4 c5 2.c3 g6 3.d4,Alapin-Sicilian-Defense-2...g6-3.d4,0.44,0,2025,38.24,25.52,36.24,Alapin Sicilian Defense
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq,11768,B22,Alapin Sicilian Defense,book,rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3,1.e4 c5 2.c3 Nf6,Alapin-Sicilian-Defense-2...Nf6,0.21,0,2025,32.79,31.48,35.72,Alapin Sicilian Defense
rnbqkb1r/pp1ppppp/5n2/2p1P3/8/2P5/PP1P1PPP/RNBQKBNR b KQkq,11769,B22,Alapin Sicilian Defense,book,rnbqkb1r/pp1ppppp/5n2/2p1P3/8/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 3,1.e4 c5 2.c3 Nf6 3.e5,Alapin-Sicilian-Defense-2...Nf6-3.e5,0.21,0,2025,32.89,31.64,35.47,Alapin Sicilian Defense
rnbqkb1r/pp1ppppp/8/2pnP3/8/2P5/PP1P1PPP/RNBQKBNR w KQkq,11770,B22,Alapin Sicilian Defense,book,rnbqkb1r/pp1ppppp/8/2pnP3/8/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 4,1.e4 c5 2.c3 Nf6 3.e5 Nd5,Alapin-Sicilian-Defense-2...Nf6-3.e5-Nd5,0.26,0,2025,32.87,31.66,35.47,Alapin Sicilian Defense
rnbqkb1r/pp1ppppp/8/2pnP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq,11771,B22,Alapin Sicilian Defense,book,rnbqkb1r/pp1ppppp/8/2pnP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq d3 0 4,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4,Alapin-Sicilian-Defense-2...Nf6-3.e5-Nd5-4.d4,0.19,0,2025,30.59,31.86,37.54,Alapin Sicilian Defense
