key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,3910,C42,Petrov's Defense,notable,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq e6 0 3,1.e4 Nf6 2.Nf3 e5,Petrovs-Defense,0.37,0,1872,38.98,40.46,20.55,#N/A
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPPQPPP/RNB1KB1R b KQkq,11451,C42,Petrov's Defense,notable,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPPQPPP/RNB1KB1R b KQkq - 3 3,1.e4 e5 2.Nf3 Nf6 3.Qe2,Petrovs-Defense-3.Qe2,-0.39,0,1872,47.17,20.75,32.08,#N/A
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/5N2/PPPPQPPP/RNB1KB1R w KQkq,11452,C42,Petrov's Defense,notable,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/5N2/PPPPQPPP/RNB1KB1R w KQkq - 4 4,1.e4 e5 2.Nf3 Nf6 3.Qe2 Nc6,Petrovs-Defense-3.Qe2-Nc6,-0.3,0,1872,50,15.22,34.78,#N/A
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq,58647,C42,Petrov's Defense,book,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,1.e4 e5 2.Nf3 Nf6 3.d3 Nc6,Petrovs-Defense-3.d3-Nc6,-0.06,0,1872,42.57,24.61,32.83,#N/A
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2PP1N2/PP3PPP/RNBQKB1R b KQkq,58648,C42,Petrov's Defense,book,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2PP1N2/PP3PPP/RNBQKB1R b KQkq - 0 4,1.e4 e5 2.Nf3 Nf6 3.d3 Nc6 4.c3,Petrovs-Defense-3.d3-Nc6-4.c3,-0.25,0,1872,41.88,28.52,29.6,#N/A
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq,58649,C42,Petrov's Defense,book,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq - 2 4,1.e4 e5 2.Nf3 Nf6 3.d3 Nc6 4.Be2,Petrovs-Defense-3.d3-Nc6-4.Be2,-0.19,0,1872,37.15,31.32,31.53,#N/A
r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq,58650,C42,Petrov's Defense,book,r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq d6 0 5,1.e4 e5 2.Nf3 Nf6 3.d3 Nc6 4.Be2 d5,Petrovs-Defense-3.d3-Nc6-4.Be2-d5,-0.18,0,1872,32.79,32.79,34.41,#N/A
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq,58654,C42,Petrov's Defense,book,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq - 0 4,1.e4 e5 2.Nf3 Nf6 3.d3 Nc6 4.g3,Petrovs-Defense-3.d3-Nc6-4.g3,-0.16,0,1872,45.85,22.86,31.29,#N/A
rnbqkb1r/ppp2ppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R b KQkq,1854,C42,Petrov's Defense: Classical Attack,book,rnbqkb1r/ppp2ppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 5,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4,Petrovs-Defense-Classical-Attack,0.41,0,1872,38.05,44.56,17.37,#N/A
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq,11503,C42,Petrov's Defense: Classical Attack,book,rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5,Petrovs-Defense-Classical-Attack-5...d5,0.48,0,1872,37.71,44.76,17.51,#N/A
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq,11504,C42,Petrov's Defense: Classical Attack,book,rnbqkb1r/ppp2ppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 6,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3,Petrovs-Defense-Classical-Attack-5...d5-6.Bd3,0.4,0,1872,37.88,44.77,17.34,#N/A
