key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq,3763,A07,King's Indian Attack,book,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2,1.g3 d5 2.Nf3,Kings-Indian-Attack,0.18,0,1126,40.8,31.96,27.24,#N/A
r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,4027,A07,King's Indian Attack,book,r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,1.Nf3 d5 2.g3 Nc6,Kings-Indian-Attack-2...Nc6,0.22,0,1126,39.75,24.07,36.18,#N/A
r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq,4028,A07,King's Indian Attack,book,r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,1.Nf3 d5 2.g3 Nc6 3.Bg2,Kings-Indian-Attack-2...Nc6-3.Bg2,-0.17,0,1126,36.56,22.72,40.73,#N/A
r1bqkbnr/ppp2ppp/2n5/3pp3/8/5NP1/PPPPPPBP/RNBQK2R w KQkq,4029,A07,King's Indian Attack,book,r1bqkbnr/ppp2ppp/2n5/3pp3/8/5NP1/PPPPPPBP/RNBQK2R w KQkq e6 0 4,1.Nf3 d5 2.g3 Nc6 3.Bg2 e5,Kings-Indian-Attack-2...Nc6-3.Bg2-e5,-0.16,0,1126,36.28,22.44,41.28,#N/A
r1bqkbnr/ppp2ppp/2n5/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq,4030,A07,King's Indian Attack,book,r1bqkbnr/ppp2ppp/2n5/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq - 0 4,1.Nf3 d5 2.g3 Nc6 3.Bg2 e5 4.d3,Kings-Indian-Attack-2...Nc6-3.Bg2-e5-4.d3,-0.21,0,1126,31.48,25.56,42.96,#N/A
rnbqkbnr/pp2pppp/2p5/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq,4063,A07,King's Indian Attack,book,rnbqkbnr/pp2pppp/2p5/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,1.Nf3 d5 2.g3 c6 3.Bg2,Kings-Indian-Attack-2...c6-3.Bg2,0.17,0,1126,35.78,36.04,28.17,#N/A
rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 b kq,4066,A07,King's Indian Attack,book,rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 3 4,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O,Kings-Indian-Attack-2...c6-3.Bg2-Bg4-4.O-O,0.25,0,1126,35.48,37.01,27.51,#N/A
rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R w KQkq,4073,A07,King's Indian Attack,book,rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,1.Nf3 d5 2.g3 Bg4 3.Bg2 c6,Kings-Indian-Attack-2...c6-3.Bg2-Bg4,0.28,0,1126,33.91,38.14,27.94,#N/A
r1bqk2r/ppp1bppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq,15589,A07,King's Indian Attack,book,r1bqk2r/ppp1bppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 4 6,1.g3 e5 2.Bg2 Nf6 3.d3 d5 4.Nf3 Nc6 5.O-O Be7,Kings-Indian-Attack...4.d3-Nf6-5.O-O-Be7,0.01,0,1126,29.5,31.95,38.56,#N/A
r1bqkb1r/ppp2ppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq,15590,A07,King's Indian Attack,book,r1bqkb1r/ppp2ppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq - 3 5,1.g3 e5 2.Bg2 Nf6 3.d3 d5 4.Nf3 Nc6 5.O-O,Kings-Indian-Attack...3.Bg2-e5-4.d3-Nf6-5.O-O,-0.1,0,1126,31.68,30.87,37.44,#N/A
r1bqkb1r/ppp2ppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq,15591,A07,King's Indian Attack,book,r1bqkb1r/ppp2ppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 2 5,1.g3 e5 2.Bg2 Nf6 3.d3 d5 4.Nf3 Nc6,Kings-Indian-Attack...3.Bg2-e5-4.d3-Nf6,-0.11,0,1126,30.32,31.72,37.96,#N/A
rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq,21347,A07,King's Indian Attack,book,rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,1.Nf3 d5 2.g3 e6 3.Bg2,Kings-Indian-Attack-2...e6-3.Bg2,0.37,0,1126,54.48,20.67,24.85,#N/A
rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,21348,A07,King's Indian Attack,book,rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,1.Nf3 d5 2.g3 e6,Kings-Indian-Attack-2...e6,0.34,0,1126,53.72,20.66,25.61,#N/A
r2qkbnr/pp1npppp/2p5/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 w kq,21467,A07,King's Indian Attack,book,r2qkbnr/pp1npppp/2p5/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 5,1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 4.O-O c6,Kings-Indian-Attack...3.Bg2-Bg4-4.O-O-Nd7,0.18,0,1126,35.48,37.23,27.3,#N/A
rn1qkbnr/ppp2ppp/4p3/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq,22068,A07,King's Indian Attack,book,rn1qkbnr/ppp2ppp/4p3/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,1.Nf3 d5 2.g3 Bf5 3.Bg2 e6,Kings-Indian-Attack-2...Bf5-3.Bg2-e6,0.32,0,1126,51.93,23.61,24.46,#N/A
rn1qkbnr/ppp1pppp/8/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R b KQkq,22069,A07,King's Indian Attack,book,rn1qkbnr/ppp1pppp/8/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 2 3,1.Nf3 d5 2.g3 Bf5 3.Bg2,Kings-Indian-Attack-2...Bf5-3.Bg2,0.29,0,1126,49.26,23.04,27.7,#N/A
rn1qkbnr/ppp1pppp/8/3p1b2/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,22070,A07,King's Indian Attack,book,rn1qkbnr/ppp1pppp/8/3p1b2/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,1.Nf3 d5 2.g3 Bf5,Kings-Indian-Attack-2...Bf5,0.21,0,1126,51,23.16,25.84,#N/A
rnbqk1nr/pp2ppbp/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq,22085,A07,King's Indian Attack,book,rnbqk1nr/pp2ppbp/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 2 5,1.Nf3 d5 2.g3 c6 3.Bg2 g6 4.O-O Bg7,Kings-Indian-Attack...3.Bg2-g6-4.O-O-Bg7,0.33,0,1126,45.71,30.48,23.81,#N/A
rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq,22093,A07,King's Indian Attack,book,rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 1 4,1.Nf3 d5 2.g3 c6 3.Bg2 g6 4.O-O,Kings-Indian-Attack-2...c6-3.Bg2-g6-4.O-O,0.23,0,1126,45.03,31.13,23.84,#N/A
rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq,22094,A07,King's Indian Attack,book,rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,1.Nf3 d5 2.g3 c6 3.Bg2 g6,Kings-Indian-Attack-2...c6-3.Bg2-g6,0.27,0,1126,43.46,30.84,25.7,#N/A
rn1qkbnr/pp2pppp/2p5/3p3b/8/5NPP/PPPPPPB1/RNBQ1RK1 b kq,22149,A07,King's Indian Attack,book,rn1qkbnr/pp2pppp/2p5/3p3b/8/5NPP/PPPPPPB1/RNBQ1RK1 b kq - 2 5,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.h3 Bh5 5.O-O,Kings-Indian-Attack...3.Bg2-Bg4-4.h3-Bh5-5.O-O,0.21,0,1126,37.95,29.23,32.82,#N/A
rn1qkbnr/pp2pppp/2p5/3p3b/8/5NPP/PPPPPPB1/RNBQK2R w KQkq,22197,A07,King's Indian Attack,book,rn1qkbnr/pp2pppp/2p5/3p3b/8/5NPP/PPPPPPB1/RNBQK2R w KQkq - 1 5,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.h3 Bh5,Kings-Indian-Attack...3.Bg2-Bg4-4.h3-Bh5,0.2,0,1126,36.86,30,33.14,#N/A
rn1qkbnr/pp2pppp/2p5/3p4/8/5bPP/PPPPPPB1/RNBQK2R w KQkq,22198,A07,King's Indian Attack,book,rn1qkbnr/pp2pppp/2p5/3p4/8/5bPP/PPPPPPB1/RNBQK2R w KQkq - 0 5,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.h3 Bxf3,Kings-Indian-Attack...3.Bg2-Bg4-4.h3-Bxf3,0.15,0,1126,37.79,38.95,23.26,#N/A
rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NPP/PPPPPPB1/RNBQK2R b KQkq,22205,A07,King's Indian Attack,book,rn1qkbnr/pp2pppp/2p5/3p4/6b1/5NPP/PPPPPPB1/RNBQK2R b KQkq - 0 4,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.h3,Kings-Indian-Attack-2...c6-3.Bg2-Bg4-4.h3,0.13,0,1126,36.81,32.83,30.36,#N/A
rn1qkbnr/pp3ppp/2p1p3/3p4/6b1/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq,22208,A07,King's Indian Attack,book,rn1qkbnr/pp3ppp/2p1p3/3p4/6b1/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 5,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O e6 5.d3,Kings-Indian-Attack...3.Bg2-Bg4-4.O-O-e6-5.d3,0.16,0,1126,33.33,35.39,31.28,#N/A
rn1qkbnr/pp3ppp/2p1p3/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 w kq,22212,A07,King's Indian Attack,book,rn1qkbnr/pp3ppp/2p1p3/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 5,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O e6,Kings-Indian-Attack...3.Bg2-Bg4-4.O-O-e6,0.33,0,1126,37.53,30.28,32.2,#N/A
r2qkb1r/pp1n1ppp/2p2n2/3p3b/3P4/5NPP/PP2PPB1/RNBQ1RK1 w kq,22213,A07,King's Indian Attack,book,r2qkb1r/pp1n1ppp/2p2n2/3p3b/3P4/5NPP/PP2PPB1/RNBQ1RK1 w kq - 0 9,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.h3 Bh5 6.d4 e6 7.c4 Ngf6 8.cxd5 exd5,Kings-Indian-Attack...7.c4-Ngf6-8.cxd5-exd5,0.23,0,1126,49.26,27.14,23.6,#N/A
r2qkb1r/pp1n1ppp/2p1pn2/3P3b/3P4/5NPP/PP2PPB1/RNBQ1RK1 b kq,22214,A07,King's Indian Attack,book,r2qkb1r/pp1n1ppp/2p1pn2/3P3b/3P4/5NPP/PP2PPB1/RNBQ1RK1 b kq - 0 8,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.h3 Bh5 6.d4 e6 7.c4 Ngf6 8.cxd5,Kings-Indian-Attack...6.d4-e6-7.c4-Ngf6-8.cxd5,0.25,0,1126,48.82,28.3,22.88,#N/A
r2qkb1r/pp1n1ppp/2p1pn2/3p3b/2PP4/5NPP/PP2PPB1/RNBQ1RK1 w kq,22215,A07,King's Indian Attack,book,r2qkb1r/pp1n1ppp/2p1pn2/3p3b/2PP4/5NPP/PP2PPB1/RNBQ1RK1 w kq - 1 8,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.h3 Bh5 6.d4 e6 7.c4 Ngf6,Kings-Indian-Attack...6.d4-e6-7.c4-Ngf6,0.24,0,1126,48.32,25.94,25.74,#N/A
r2qkbnr/pp1n1ppp/2p1p3/3p3b/2PP4/5NPP/PP2PPB1/RNBQ1RK1 b kq,22216,A07,King's Indian Attack,book,r2qkbnr/pp1n1ppp/2p1p3/3p3b/2PP4/5NPP/PP2PPB1/RNBQ1RK1 b kq c3 0 7,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.h3 Bh5 6.d4 e6 7.c4,Kings-Indian-Attack...5.h3-Bh5-6.d4-e6-7.c4,0.15,0,1126,46.79,27.98,25.23,#N/A
r2qkbnr/pp1n1ppp/2p1p3/3p3b/3P4/5NPP/PPP1PPB1/RNBQ1RK1 w kq,22217,A07,King's Indian Attack,book,r2qkbnr/pp1n1ppp/2p1p3/3p3b/3P4/5NPP/PPP1PPB1/RNBQ1RK1 w kq - 0 7,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.h3 Bh5 6.d4 e6,Kings-Indian-Attack...5.h3-Bh5-6.d4-e6,0.22,0,1126,41.92,29.69,28.38,#N/A
r2qkbnr/pp1npppp/2p5/3p3b/3P4/5NPP/PPP1PPB1/RNBQ1RK1 b kq,22218,A07,King's Indian Attack,book,r2qkbnr/pp1npppp/2p5/3p3b/3P4/5NPP/PPP1PPB1/RNBQ1RK1 b kq d3 0 6,1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.h3 Bh5 6.d4,Kings-Indian-Attack...4.O-O-Nd7-5.h3-Bh5-6.d4,0.17,0,1126,44.7,27.19,28.11,#N/A
